Project Number,Country,Financing,Project Type or Modality,Approval Date,ADB Financing (US$),Geographical Location,Sector
37378-013,Sri Lanka,Sovereign,Loan | Technical Assistance,29/11/2010,"211,100,000.00","Jaffna, Kilinochchi District",Water and other urban infrastructure and services
37697-025,Mongolia,Sovereign,Loan | Technical Assistance,16/12/2014,"18,500,000.00",,Water and other urban infrastructure and services
38272-044,India,Sovereign,Loan | Technical Assistance,26/11/2021,"126,000,000.00","Dehra Dun, Nainital",Water and other urban infrastructure and services
38349-029,Nepal,Sovereign,Loan | Technical Assistance,30/06/2020,"50,500,000.00",Nation-wide,Transport
38349-031,Nepal,Sovereign,Loan,19/11/2020,"150,000,000.00",Nation-wide,Transport
38354-013,Indonesia,Sovereign,Loan,31/10/2012,"147,750,000.00",Nation-wide,Public sector management
38354-015,Indonesia,Sovereign,Loan,02/12/2019,"90,000,000.00",Nation-wide,Public sector management
38560-024,Cambodia,Sovereign,Grant | Loan | Technical Assistance,22/09/2016,"15,000,000.00","Banteay Meanchey, Battambang, Kampong Chhnang, Kampong Thom, Pursat, Pursat",Water and other urban infrastructure and services
39295-013,Bangladesh,Sovereign,Loan,10/06/2014,"325,000,000.00",,Transport | Water and other urban infrastructure and services
39399-013,India,Sovereign,Grant | Loan,16/11/2009,"87,500,000.00",Nepal,Transport | Water and other urban infrastructure and services
40080-013,Viet Nam,Sovereign,Loan,10/12/2015,"357,800,000.00","Hoan Kiem, Hoan Kiem, Huyen Tu Liem, Minh Khai, Nhon, Thanh Pho Ha Noi, Xa Tay Tuu",Transport
40080-024,Viet Nam,Sovereign,Loan,12/12/2014,"4,200,000.00",,Transport
40253-036,Lao People's Democratic Republic,Sovereign,Grant,09/08/2016,0,"Attapu, Sekong",Agriculture and Natural Resources
40255-033,Viet Nam,Sovereign,Grant | Loan,05/08/2013,"410,000,000.00","An Giang, Ben Pha Vam Cong, Cao Lanh, Huyen Cao Lanh, Huyen Lap Vo, Long Xuyen, Thanh Pho Can Tho, Thanh pho Long Xuyen, Tinh Dong Thap",Transport
40333-022,Afghanistan,Sovereign,Grant,28/09/2007,"176,000,000.00","Andkhoy, Andkhoy, Bala Murghab, Balkh, Hairatan, Kaldar, Khulm, Laman, Murghab, Naibabad, Pul-e Khumri, Puli Khumri, Qaisar, Qala i Naw, Qala-i-Naw, Sangalak-i-Kaisar, Shibirghan, Shibirghan",Transport
40540-016,Bangladesh,Sovereign,Loan | Technical Assistance,24/10/2017,"1,203,000,000.00","Chandra, Elenga, Hatikumrul, Jaydebpur, Rangpur, Tangail Sadar",Transport
40540-017,Bangladesh,Sovereign,Loan,16/11/2017,"300,000,000.00","Chandra, Elenga, Hatikumrul, Jaydebpur, Rangpur, Tangail",Transport
40540-018,Bangladesh,Sovereign,Loan,06/12/2019,"398,376,000.00","Nation-wide, Dhaka, Dhaka",Transport
40540-019,Bangladesh,Sovereign,Loan,20/11/2023,"300,000,000.00",Dhaka,Transport
41076-044,Philippines,Sovereign,Loan,15/12/2011,"62,000,000.00","Baguio City, Bauang, Butuan, Cabangan, Cagayan de Oro, Calinog, Candelaria, Carmen, Castillejos, Dipolog City, Guihulngan, Iloilo, Jaro, Kabacan, La Libertad, Manjuyod, Masinloc, Naguilian, Olongapo City, Palauig, Palo, Poblacion, Province of Agusan del Norte, Province of Benguet, Province of Iloilo, Province of La Union, Province of Leyte, Province of Misamis Oriental, Province of Negros Oriental, Province of North Cotabato, Province of Zambales, Province of Zamboanga del Norte, San Marcelino, San Narciso, Santa Cruz, Subic, Tanauan, Tolosa, Vallehermoso",Transport
41076-048,Philippines,Sovereign,Loan,14/12/2017,"380,000,000.00","Province of Zamboanga Sibugay, Province of Zamboanga del Norte, Zamboanga Peninsula",Transport
41123-015,Cambodia,Sovereign,Loan,28/09/2017,"70,000,000.00",Nation-wide,Transport
41155-013,Nepal,Sovereign,Grant | Loan | Technical Assistance,15/11/2011,"75,250,000.00","Nation-wide, Amuwa, Bagmati Zone, Bahrabise, Belbari, Bheri Zone, Bhimeshwor, Bhurigaun, Butwal, Chandragadhi1, Chapali, Dhading, Gaddachauki, Gaur, Gorkha, Janakpur Zone, Jorpati, Kanchanpur, Kathmandu, Khimti, Kohalpur, KrishnaNagar1, Mahakali Zone, Mahendranagar, Mirmi, Nijgarh, Parasi, Seti Zone, Sundarijal, Syanja, Taulihawa",Energy
41193-014,Mongolia,Sovereign,Loan,09/12/2011,"170,000,000.00",,Transport
41193-019,Mongolia,Sovereign,Loan,14/05/2014,"125,000,000.00",,Transport
41220-013,Philippines,Sovereign,Grant | Loan,03/12/2012,"101,410,000.00","Bohol, Cordillera Administrative Region, Lake Lanao, Province of Bukidnon","Agriculture, natural resources and rural development"
41392-023,Cambodia,Sovereign,Loan,18/08/2016,"35,000,000.00",,Public sector management
41414-023,Viet Nam,Sovereign,Loan,14/12/2010,"636,000,000.00",,Transport
41414-063,Viet Nam,Sovereign,Loan,20/05/2016,"286,000,000.00",Nation-wide,Transport
41435-013,Cambodia,Sovereign,Loan,25/09/2017,"80,700,000.00","Kampong Cham, Kampong Cham, Siem Reap, Siem Reap, Sisophon, Sisophon, Stueng Saen, Stueng Saen","Agriculture, natural resources and rural development | Finance"
41444-023,Lao People's Democratic Republic,Sovereign,Loan,04/11/2016,0,,Transport
41456-013,Viet Nam,Sovereign,Loan,22/02/2011,"1,000,000,000.00",Nation-wide,Water and other urban infrastructure and services
41496-014,Viet Nam,Sovereign,Grant | Loan,11/02/2013,"25,000,000.00","Nation-wide, Ca Mau, Ha Tien, Ha Tien Township, Huyen An Bien, Huyen Chau Thanh, Huyen Hon Dat, Huyen Kien Luong, Kien Luong, Minh Hoa, Ngoc Hon Doc, Rach Gia, Rach Thu Bay, Song Cai Be, Song Cai Lon, Tac Cau, Thi Xa Ca Ma, Thi Xa Rach Gia, Tinh Kien Giang, Xom Ta Lua Moi, Xom Xa Xia",Transport
41504-013,Papua New Guinea,Sovereign,Grant | Loan,25/11/2010,"120,000,000.00",Nation-wide,Energy
41665-013,Philippines,Sovereign,Grant | Loan | Technical Assistance,22/04/2016,"60,000,000.00","Nation-wide, City of Koronadal, Province of La Union",Water and other urban infrastructure and services
42007-020,Uzbekistan,Sovereign,Loan | Technical Assistance,09/12/2021,"100,250,000.00",Nation-wide,Education | Finance | Industry and trade | Public sector management
42007-021,Uzbekistan,Sovereign,Loan,06/12/2023,"100,000,000.00",Nation-wide,Education | Finance | Industry and trade
42019-014,"China, People's Republic of",Sovereign,Loan,27/06/2019,"120,000,000.00",Xichang,Transport
42079-013,Viet Nam,Sovereign,Loan,25/04/2011,"190,000,000.00",Hanoi,Education
42091-022,Afghanistan,Sovereign,Grant,20/12/2005,"300,000,000.00",,"Agriculture, natural resources and rural development"
42091-032,Afghanistan,Sovereign,Grant,06/10/2009,"86,600,000.00","Aqchah, Baba Qushqar, Balkh, Balkh, Chakish, Deh-e Qazi, Gowr-i-Mar, Kaltah Shakh, Khairabad, Mardian, Mingajik-e Qulighajar, Moy Mubarak, Nakhchirabad, Pusht-e Bagh, Qal'achah, Qarah Buyin, Samar Qandian, Sar-e Asyab, Sherabad, Shingilabad, Surkh, Wilayat-e Jowzjan, Yangi Qal'ah, Zadian","Agriculture, natural resources and rural development"
42091-043,Afghanistan,Sovereign,Grant,08/10/2013,"100,000,000.00","Dasht-e Archi, Imam Sahib, Kwhaja Ghar, Nahr-e Archi, Wilayat-e Takhar","Agriculture, natural resources and rural development"
42094-012,Afghanistan,Sovereign,Grant,28/11/2008,"570,000,000.00",,Health
42094-042,Afghanistan,Sovereign,Grant,22/12/2011,"43,000,000.00",Gereshk,Energy
42094-052,Afghanistan,Sovereign,Grant,18/12/2012,"200,000,000.00","Andkhoy, Gardez, Mazar-e Sharif, Pul-e 'Alam, Shibirghan",Energy
42105-012,Regional,Sovereign,Technical Assistance,07/10/2008,"4,368,000.00",Regional,Industry and trade | Transport | Water and other urban infrastructure and services
42145-013,Armenia,Sovereign,Grant | Loan,29/09/2009,"500,000,000.00",,Transport
42145-033,Armenia,Sovereign,Loan,21/12/2010,"170,000,000.00","Aragatsotni Marz, Ashtarak, Talin",Transport
42145-043,Armenia,Sovereign,Grant | Loan,12/03/2013,"100,000,000.00","Agarak, Aragatsotni Marz, Ararat, Ararati Marz, Ashtarak, Azatan, Bavra, Beniamin, Dzorakap, Goris, Gyumri, Hayrenyats', Horrom, Kapan, Lanjik, Lusakert, Maralik, Mastara, Meghri, Sarrnaghbyur, Shiraki Marz, Syunik'i Marz, Talin, Yerevan",Transport
42169-013,Bangladesh,Sovereign,Grant | Loan | Technical Assistance,17/04/2012,"260,000,000.00","Dhaka, Gazipura",Transport
42169-024,Bangladesh,Sovereign,Loan,14/12/2022,"100,000,000.00","Gazipur, Shahjalal International Airport",Transport
42173-013,Bangladesh,Sovereign,Grant | Loan,22/10/2013,"390,000,000.00","Araihazar, Badda, Bishnadi, Dhaka, Dhaka District, Gandharbapur, Gulshan, Mirpur, Narayanganj District, Rupganj",Water and other urban infrastructure and services
42173-015,Regional,Sovereign,Technical Assistance,07/08/2019,"5,000,000.00","Bangladesh - Dhaka, Khulna; Bhutan - Paro; Maldives - Male; Nepal - Kathmandu; Sri Lanka - Colombo",Water and other urban infrastructure and services
42173-016,Bangladesh,Sovereign,Grant | Loan,11/10/2021,"140,000,000.00",Dhaka,Water and other urban infrastructure and services
42173-017,Bhutan,Sovereign,Grant | Loan,12/12/2022,"20,000,000.00",Nation-wide,"Agriculture, natural resources and rural development | Water and other urban infrastructure and services"
42177-013,Bangladesh,Sovereign,Grant | Loan | Technical Assistance,18/07/2012,"160,400,000.00","Nation-wide, Barisal, Comilla, Dhaka, Gazipura, Gopalganj, Khulna, Kishorganj, Kushtia, Narayanganj, Rajshahi, Rangpur, Sirajganj, Sylhet",Health
42180-016,Bangladesh,Sovereign,Loan | Technical Assistance,18/07/2017,"526,750,000.00",Bangladesh,Finance
42180-019,Bangladesh,Sovereign,Loan,23/11/2022,"278,290,000.00",Nation-wide,Finance
42184-022,Mongolia,Sovereign,Grant | Loan | Technical Assistance,19/04/2010,"54,430,000.00","Dalandzadgad, Gurvantes, Saynshand, Tsogttsetsiy, Zamiin Uud",Energy | Transport | Water and other urban infrastructure and services
42203-022,Lao People's Democratic Republic,Sovereign,Grant,26/11/2010,"58,600,000.00","Khoueng Bokeo, Khoueng Oudomxai, Khoueng Phongsali, Louangnamtha","Agriculture, natural resources and rural development | Transport"
42203-025,Lao People's Democratic Republic,Sovereign,Grant,31/05/2017,"35,600,000.00","Bokeo, Khoueng Oudomxai, Luang Namtha, Phongsali","Agriculture, natural resources and rural development | Transport"
42229-016,Bhutan,Sovereign,Loan,18/06/2018,"10,000,000.00","Samdrup Jongkhar, Sarpang, Trashigang Dzongkhag",Water and other urban infrastructure and services
42251-018,Sri Lanka,Sovereign,Grant | Loan,28/03/2014,"200,000,000.00",,Education
42251-019,Sri Lanka,Sovereign,Grant | Loan,28/03/2018,"100,000,000.00",Nation-wide,Education
42265-025,India,Sovereign,Loan,13/12/2017,"26,040,000.00","Dibrugarh, Guwahati",Water and other urban infrastructure and services
42266-013,India,Sovereign,Loan | Technical Assistance,26/09/2013,"400,000,000.00",,Water and other urban infrastructure and services
42266-025,India,Sovereign,Loan | Technical Assistance,16/08/2016,"200,000,000.00",Kolkata,Water and other urban infrastructure and services
42266-026,India,Sovereign,Loan | Technical Assistance,13/08/2018,"100,000,000.00",Kolkata,Water and other urban infrastructure and services
42267-031,India,Sovereign,Loan,25/09/2020,"300,000,000.00",Rajasthan,Water and other urban infrastructure and services
42267-032,India,Sovereign,Technical Assistance,21/09/2021,0,"Jodhpur, Jodhpur, Nawalgarh, Nawalgarh",Water and other urban infrastructure and services
42267-034,India,Sovereign,Loan,30/06/2023,"200,000,000.00",Rajasthan,Water and other urban infrastructure and services
42285-013,Cambodia,Sovereign,Grant | Loan,10/11/2015,"37,000,000.00","Kampong Chhnang, Pursat",Water and other urban infrastructure and services
42291-024,Regional,Sovereign,Loan,11/06/2012,"19,000,000.00",Regional,Education
42291-026,Regional,Sovereign,Grant | Loan,21/10/2016,"15,400,000.00",Regional,Education
42334-018,Cambodia,Sovereign,Grant | Loan,29/06/2018,"60,000,000.00",Phnom Penh,Transport
42378-014,Bangladesh,Sovereign,Grant | Loan,28/11/2012,"700,000,000.00",,Energy
42392-013,Vanuatu,Sovereign,Grant | Loan | Technical Assistance,30/11/2011,"29,950,000.00","Lenakel, Litzlitz, Luganville, Port Sandwich, Port Vila",Transport
42417-013,Armenia,Sovereign,Loan,19/04/2011,"400,000,000.00",,Transport
42417-023,Armenia,Sovereign,Loan,09/05/2011,"48,640,000.00","Argavand, Karmir Blur, Nerkin Shengavit'",Transport
42417-033,Armenia,Sovereign,Loan,29/09/2015,"112,970,000.00",Yerevan,Transport
42439-013,Palau,Sovereign,Loan,19/11/2013,"28,800,000.00","Kesebalau, Malakal Island, State of Airai, State of Koror, State of Melekeok",Water and other urban infrastructure and services
42459-013,Sri Lanka,Sovereign,Loan | Technical Assistance,29/09/2011,"112,720,000.00","Anuradhapura, Badulla, Colombo, Galle, Hambantota, Kalutara, Kandy, Kegalle, Kurunegala, Matale, Matara, Moneragala, North Central, Nuwara Eliya, Polonnaruwa, Puttalam, Ratnapura",Transport | Water and other urban infrastructure and services
42466-014,Bangladesh,Sovereign,Grant | Loan,19/05/2014,"350,000,000.00",,Education
42466-016,Bangladesh,Sovereign,Grant | Loan,24/11/2016,"100,000,000.00",Nation-wide,Education
42466-017,Bangladesh,Sovereign,Loan,10/10/2019,"150,000,000.00",Nation-wide,Education
42466-018,Bangladesh,Sovereign,Technical Assistance,27/04/2020,"2,750,000.00","Nation-wide, Bangladesh",Education
42486-016,India,Sovereign,Loan | Technical Assistance,18/05/2017,"546,000,000.00",Madhya Pradesh,Water and other urban infrastructure and services
42513-014,India,Sovereign,Loan,08/12/2017,"346,000,000.00",Karnataka,Transport
43120-026,Lao People's Democratic Republic,Sovereign,Grant,03/10/2017,"10,000,000.00",Nation-wide,Industry and trade
43197-013,Papua New Guinea,Sovereign,Loan,26/04/2013,"66,700,000.00","Hiri, Kila Kila Number 1, Laloki River, Port Moresby, Sirinumu Dam",Energy
43220-014,Indonesia,Sovereign,Loan,18/05/2017,"500,000,000.00","Banyumas, Bireun, Bojonegoro, Ciamis, Dompu, East Manggarai Regency, Indramayu, Jember, Jombang, Kabupaten Aceh Besar, Kabupaten Aceh Timur, Kabupaten Aceh Utara, Kabupaten Asahan, Kabupaten Banggai, Kabupaten Banjarnegara, Kabupaten Banyu Asin, Kabupaten Barito Kuala, Kabupaten Bima, Kabupaten Bolaang Mongondow, Kabupaten Bone, Kabupaten Cilacap, Kabupaten Empat Lawang, Kabupaten Garut, Kabupaten Hulu Sungai Tengah, Kabupaten Humbang Hasundutan, Kabupaten Kebumen, Kabupaten Ketapang, Kabupaten Lampung Tengah, Kabupaten Lima Puluh Kota, Kabupaten Lombok Tengah, Kabupaten Lombok Timur, Kabupaten Manggarai Barat, Kabupaten Minahasa Selatan, Kabupaten Muara Enim, Kabupaten Musi Banyuasin, Kabupaten Musi Rawas, Kabupaten Ngawi, Kabupaten Ogan Komering Ulu Selatan, Kabupaten Pasaman, Kabupaten Pasaman Barat, Kabupaten Pesisir Selatan, Kabupaten Pinrang, Kabupaten Purworejo, Kabupaten Sambas, Kabupaten Sidenreng Rappang, Kabupaten Sijunjung, Kabupaten Simalungun, Kabupaten Soppeng, Kabupaten Tanah Bumbu, Kabupaten Tapanuli Tengah, Kabupaten Tapin, Kabupaten Tulangbawang, Kabupaten Wajo, Kediri, Kubu Raya Regency, Kuningan, Lahat, Lamongan, Lumajang, Madiun, Majalengka, Mesuji, North Kayong Regency, Pandeglang, Pati, Pekalongan, Pesawaran Regency, Poso, Serang, Sukabumi, Sumedang, Tanggamus Regency, Tolitoli Regency, Tuban","Agriculture, natural resources and rural development"
43237-013,Viet Nam,Sovereign,Grant | Loan,27/11/2015,"100,000,000.00","Dong Hoi, Hoi An",Water and other urban infrastructure and services
43251-025,Indonesia,Sovereign,Grant | Loan,31/03/2014,"80,000,000.00",,Health | Water and other urban infrastructure and services
43253-013,India,Sovereign,Loan,25/09/2014,"150,000,000.00",,"Agriculture, natural resources and rural development"
43253-024,India,Sovereign,Grant | Loan,28/03/2014,"150,000,000.00",,Water and other urban infrastructure and services
43253-026,India,Sovereign,Loan,04/10/2019,"91,000,000.00",Karnataka,"Agriculture, natural resources and rural development"
43253-027,India,Sovereign,Loan,17/10/2018,"75,000,000.00","Kundapura, Mangalore, Puttur, Udupi",Water and other urban infrastructure and services
43281-013,Nepal,Sovereign,Grant | Loan | Technical Assistance,21/02/2013,"150,000,000.00","Nation-wide, Bharatpur, Central Region, Damauli, Dharampani, Lumbini Zone, Majhkot, Mid Western, Narayani Zone, Rapti Zone, Tanahun, Western Region",Energy
43309-015,Cambodia,Sovereign,Loan,18/10/2016,"6,000,000.00","Kampong Chhnang, Kampong Speu, Prey Veng, Svay Rieng",Transport
43319-033,Cambodia,Sovereign,Grant | Loan,10/12/2012,"37,000,000.00","Battambang, Bavet, Neak Leung, Paoy Pet",Water and other urban infrastructure and services
43319-043,Viet Nam,Sovereign,Grant | Loan,12/12/2012,"130,000,000.00","Dong Ha, Lao Bao, Moc Bai",Transport | Water and other urban infrastructure and services
43405-013,Georgia,Sovereign,Loan,30/03/2011,"500,000,000.00",,Water and other urban infrastructure and services
43405-025,Georgia,Sovereign,Loan,05/12/2013,"98,000,000.00","Nation-wide, Kutaisi, Ureki",Water and other urban infrastructure and services
43405-026,Georgia,Sovereign,Loan,11/12/2014,"108,000,000.00",,Water and other urban infrastructure and services
43405-027,Georgia,Sovereign,Loan,29/09/2015,"75,000,000.00",Zugdidi,Water and other urban infrastructure and services
43405-028,Georgia,Sovereign,Loan,04/10/2016,"99,000,000.00","Bolnisi, Chiatura, Marneuli",Water and other urban infrastructure and services
43407-016,Philippines,Sovereign,Technical Assistance,09/02/2016,"4,310,000.00",Nation-wide,Education | Health | Public sector management
43448-013,Nepal,Sovereign,Grant | Loan | Technical Assistance,31/10/2013,"94,100,000.00","Bagmati River, Bagmati Zone, Bishnumati Khola, Kathmandu Valley, Kathmandu Valley, Nagmati Khola, Shivapuri, Sundarijal","Agriculture, natural resources and rural development"
43452-022,Tonga,Sovereign,Grant | Loan,27/06/2013,"13,940,000.00","'Uiha Island, Eua, Ha'afeva, Ha'ano, Ha'apai, Niuafo'ou, Niuatoputapu Island, Nomuka Island, Vava'u",Energy
43459-013,India,Sovereign,Technical Assistance,06/11/2018,"4,500,000.00",Nation-wide,"Agriculture, natural resources and rural development | Education | Energy | Finance | Transport | Water and other urban infrastructure and services"
43524-014,Nepal,Sovereign,Grant | Loan,26/04/2013,"80,000,000.00","Bhaktapur, Dhobighat, Gokarna, Guhyeshwari, Kathmandu, Kathmandu Valley, Kathmandu Valley, Kirtipur, Kodku, Lalitpur, Sallaghari, Thimi",Water and other urban infrastructure and services
44022-023,"China, People's Republic of",Sovereign,Loan,30/09/2013,"80,000,000.00",Baise City,Transport | Water and other urban infrastructure and services
44122-013,Regional,Sovereign,Technical Assistance,15/11/2019,"750,000.00",Regional,Finance
44138-022,Lao People's Democratic Republic,Sovereign,Loan,20/09/2013,"60,000,000.00","Khoueng Savannakhet, Salavan","Agriculture, natural resources and rural development"
44167-013,Bangladesh,Sovereign,Grant | Loan,26/06/2014,"255,000,000.00",,"Agriculture, natural resources and rural development"
44167-015,Bangladesh,Sovereign,Grant | Loan,06/09/2021,"157,000,000.00","Chauhali, Enayetpur, Harirampur","Agriculture, natural resources and rural development"
44212-013,Bangladesh,Sovereign,Grant | Loan,06/08/2012,"55,500,000.00",,Transport | Water and other urban infrastructure and services
44213-015,Bangladesh,Sovereign,Grant | Loan,27/09/2013,"500,000,000.00",,Education
44219-014,Nepal,Sovereign,Grant | Loan | Technical Assistance,04/07/2014,"200,500,000.00",,Energy
44219-018,Nepal,Sovereign,Loan,02/10/2018,"20,000,000.00",Nation-wide,Energy
44239-013,Bhutan,Sovereign,Grant,21/06/2012,"10,920,000.00","Bathpalathang Airport, Gelephu Airport, Yongphulla Airport",Transport
44239-014,Bhutan,Sovereign,Grant,29/06/2016,"4,000,000.00",Nation-wide,Transport
44253-014,Philippines,Sovereign,Technical Assistance,10/12/2015,"1,000,000.00",Nation-wide,Public sector management
44321-013,Cambodia,Sovereign,Grant | Loan,27/06/2013,"55,000,000.00","Nation-wide, Battambang, Kampong Thom, Moung Ruessei, Phumi Anlong Reach, Phumi Bat Trang, Phumi Chhuk Khsach, Phumi Kampaeuy, Phumi Roessei Sanh, Prey Veng, Srok Barayn, Srok Bavil, Srok Kampong Svay, Srok Preah Sdech, Srok Rukh Kiri, Srok Santuk, Srok Sithor Kandal, Srok Stoung, Srok Svay Antor, Srok Thma Koul, Stueng Saen","Agriculture, natural resources and rural development"
44321-014,Cambodia,Sovereign,Grant,14/01/2022,0,Nation-wide,"Agriculture, natural resources and rural development"
44350-013,Sri Lanka,Sovereign,Loan,22/09/2016,"24,420,000.00",Nation-wide,Transport
44444-013,Bhutan,Sovereign,Grant | Loan | Technical Assistance,15/12/2014,"121,500,000.00",,Energy
44458-013,Uzbekistan,Sovereign,Loan,25/09/2013,"220,000,000.00","Bukhara, Bukhara District, Kogon Tumani, Qiziltepa, Qiziltepa Tumani, Sheykhan","Agriculture, natural resources and rural development"
44482-012,Afghanistan,Sovereign,Grant,20/09/2011,"667,000,000.00",,Transport
44482-023,Afghanistan,Sovereign,Grant,10/12/2012,"149,000,000.00","Angoor Adda, Bermal, Chah Anjir, Gereshk, Helmand, Hisarak, Islamic Republic of Afghanistan, Jalalabad, Jalalabad, Khugyani, Nad `Ali, Nahr-e Saraj, Nangarhar, Sar Rowzah, Sarobi, Sharan, Sharan, Sherzad, Surkh Rod, Urgun, Wilayat-e Paktika",Transport
44482-024,Afghanistan,Sovereign,Grant,11/09/2013,"220,000,000.00","Ahangaran, Baghalak, Bazar-e Yakawlang, Chaghcharan, Chaghcharan, Chahar Deh, Dara-I-Suf, Darah-ye Daymirdad, Deh-e Tarchi, Gardan Dewal, Gird Bayd, Hasani, Hisa-I-Awal Bihsud, Islamic Republic of Afghanistan, Kabul, Kotah, La`l wa Sar Jangal, Marghistan, Markazi Bihsud, Panjab, Qal`ah, Qal`ah Now, Rashak, Sadmardah, Safed Khak, Sar-e Bum, Surkh Joy, Yakawlang, Zayraki",Transport
44482-025,Afghanistan,Sovereign,Grant,15/12/2014,"109,000,000.00",,Transport
45007-003,Mongolia,Sovereign,Grant | Loan,12/12/2013,"160,000,000.00",,Water and other urban infrastructure and services
45007-004,Mongolia,Sovereign,Grant | Loan,17/12/2013,"50,000,000.00","Bayankhoshuuny, Ulaanbaatar Hot",Energy | Transport | Water and other urban infrastructure and services
45007-005,Mongolia,Sovereign,Loan,31/03/2017,"66,350,000.00",Ulan Bator,Energy | Transport | Water and other urban infrastructure and services
45007-009,Mongolia,Sovereign,Loan,26/06/2020,"43,650,000.00",Ulaanbaatar,Education | Transport | Water and other urban infrastructure and services
45007-011,Mongolia,Sovereign,Technical Assistance,20/06/2019,"713,000.00",Ulan Bator,Information and communication technology | Water and other urban infrastructure and services
45007-012,Mongolia,Sovereign,Technical Assistance,11/02/2021,"300,000.00",Ulaanbaatar,Industry and trade
45007-013,Mongolia,Sovereign,Technical Assistance,23/12/2021,"140,000.00",Ulaanbaatar,Water and other urban infrastructure and services
45041-002,Lao People's Democratic Republic,Sovereign,Grant | Loan,10/03/2015,"35,000,000.00",Vientiane,Transport
45089-003,Philippines,Sovereign,Technical Assistance,28/01/2016,"3,782,000.00",Nation-wide,Education
45089-004,Philippines,Sovereign,Loan,23/05/2019,"300,000,000.00",Nation-wide,Education
45094-001,Timor-Leste,Sovereign,Grant | Loan,30/03/2012,"51,780,000.00","Alas, Barique, Bazartete, Dili, Dom Aleixo, East Timor, Ermera Villa, Gleno, Laclubar, Manatuto, Manatuto, Natarbora, Railaco, Soibada, Tibar, Vera Cruz",Transport
45148-004,Sri Lanka,Sovereign,Loan,25/10/2012,"300,000,000.00",,Water and other urban infrastructure and services
45148-007,Sri Lanka,Sovereign,Loan,26/09/2013,"88,000,000.00","Ambatale, Borella, Cinnamon Gardens, Colombo Division, Dematagoda, Fort, Gotatuwa, Grandpass, Havelock Town, Kirulapone, Kollupitiya, Kolonnawa, Kotahena, Maligakande Reservoir, Maligawatta, Maradana, Mattakkuliya, Modara, Narahenpita, Slave Island, Timbirigasyaya, Union Place, Vishaka Vidyalaya, Wellawatta, Yakbedda",Water and other urban infrastructure and services
45148-008,Sri Lanka,Sovereign,Loan,08/12/2015,"128,000,000.00",Colombo,Water and other urban infrastructure and services
45169-001,Kyrgyz Republic,Sovereign,Grant | Loan,05/11/2013,"100,000,000.00","Bishkek, Gorod Bishkek, Jaiyl, Jalal-Abad, Jalal-Abad, Kara-Balta, Kara-Suu, Madaniyat, Osh",Transport
45203-006,Bangladesh,Sovereign,Loan,15/08/2016,"167,000,000.00",Nation-wide,Energy
45207-002,Bangladesh,Sovereign,Loan,30/06/2014,"59,500,000.00",,"Agriculture, natural resources and rural development"
45224-002,India,Sovereign,Loan | Technical Assistance,26/09/2013,"300,000,000.00",,Energy
45233-001,Pakistan,Sovereign,Loan,22/10/2013,"630,000,000.00","Nation-wide, Badin District, Faisalabad, Gilgit District, Muzaffarabad, Nowshera, Quetta",Education | Health | Public sector management
45233-004,Pakistan,Sovereign,Technical Assistance,11/12/2020,"2,550,000.00",Nation-wide,Education | Health | Public sector management
